training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
8,10,0.9959183673469388,0.93568281938326,0.9844961240310076,0.9910891089108912,0.9826883910386964,0.9641255605381166,0.9613778705636744,0.97568093385214,0.9784394250513349,0.9603567888999008,0.9726,shot_noise
9,10,0.9918367346938776,0.9162995594713657,0.9912790697674418,0.9762376237623762,0.9714867617107944,0.9742152466367712,0.9686847599164928,0.9406614785992218,0.9835728952772074,0.9573835480673936,0.9663,shot_noise
5,10,0.9877551020408164,0.9823788546255506,0.9864341085271318,0.998019801980198,0.9307535641547862,0.9405829596412556,0.9780793319415448,0.9688715953307392,0.9383983572895276,0.9593657086223984,0.9677,shot_noise
10,10,0.9918367346938776,0.960352422907489,0.9680232558139537,0.9891089108910892,0.9714867617107944,0.9663677130044844,0.9707724425887264,0.9299610894941636,0.9804928131416838,0.9435084241823588,0.9669,shot_noise
7,10,0.9877551020408164,0.8607929515418502,0.9738372093023256,0.9782178217821782,0.9613034623217924,0.9775784753363228,0.9697286012526096,0.9795719844357976,0.98870636550308,0.9464816650148662,0.9608,shot_noise
3,10,0.9918367346938776,0.9920704845814978,0.9757751937984496,0.9831683168316832,0.9725050916496945,0.952914798206278,0.9812108559498957,0.9824902723735408,0.9753593429158112,0.9554013875123883,0.9767,shot_noise
6,10,0.9908163265306122,0.9638766519823788,0.9874031007751938,0.9910891089108912,0.9786150712830958,0.9730941704035876,0.9853862212943632,0.933852140077821,0.9681724845995892,0.9494549058473736,0.9719,shot_noise
99,10,0.9663265306122448,0.9444933920704844,0.994186046511628,0.99009900990099,0.9562118126272912,0.9585201793721974,0.9561586638830898,0.8346303501945526,0.957905544147844,0.9851337958374627,0.954,shot_noise
4,10,0.9959183673469388,0.9841409691629956,0.9874031007751938,0.984158415841584,0.9674134419551936,0.9596412556053812,0.9739039665970772,0.9678988326848248,0.9681724845995892,0.9801783944499504,0.9772,shot_noise
2,10,0.9887755102040816,0.9647577092511012,0.9437984496124032,0.9722772277227724,0.9490835030549898,0.9192825112107624,0.9832985386221296,0.9717898832684824,0.9774127310061602,0.9633300297324084,0.9637,shot_noise
999,10,0.9959183673469388,0.9709251101321584,0.992248062015504,0.9930693069306932,0.980651731160896,0.976457399103139,0.9853862212943632,0.9776264591439688,0.98870636550308,0.977205153617443,0.9837,shot_noise
8,10,0.9928571428571428,0.7048458149779736,0.9738372093023256,0.9722772277227724,0.9327902240325866,0.9237668161434978,0.9133611691022964,0.95136186770428,0.9743326488706364,0.8979187314172448,0.9208,impulse_noise
